Song,Track ID,Artist ID,Artist Name
"72636,4253, My Sweet Lord",,,
,TRPYNNL12903CAF506,ARXJJSN1187B98CB37,Bebe Winans
,TRFYRVZ128F92EF998,ARNUFGE1187B9B7881,THE CHIFFONS
,TRXAJXI128F4267A92,AR7K9W71187B9AF065,Jane Olivor
,TRMONTS128F427FF78,ARHYUI71187FB48366,Billy Preston
,TRGSXCN128F9320D4B,ARZEAO01187B998042,Jody Miller
"51981, These Things Will Keep Me Loving You",,,
,TRTRNUX128F93297EF,AR31EL21187B98A723,The Velvelettes
,TRKQBVB128C7196AED,AR8L6W21187B9AD317,Diana Ross
"22914, Take Me In Your Arms (Rock Me A Little While)",,,
,TRBKHJE128F931F762,AROHGM71187B98ED9E,Kim Weston
,TRNOHZD128C719668F,ARTG85X1187B99D1F5,The Isley Brothers
,TRTMZVE128F92DF6FB,ART9VTZ1187FB48DDC,Blood_ Sweat & Tears
,TRMFHKO128F426E4C6,ARUIHX41187B98BE59,The Doobie Brothers
"4173, Come Softly To Me",,,
,TRYCGBR128F428256C,ARLQ1IL1187FB3C77A,Bob Welch
,TRWQUEV12903CB3AD3,AROSQW61187FB5330B,The Fleetwoods
,TRSGOFX128F4267A45,AR7K9W71187B9AF065,Jane Olivor
,TRHHBEI12903CF8A4A,ARKMSNH1187FB44DEB,Johnny Tillotson
"114512,15202, No Sleep Till Brooklyn",,,
,TRBQEKU128F428C1B3,ARLHO5Z1187FB4C861,Beastie Boys
,TRFLJNQ128F14A8388,ART93VS1187FB5828A,Belgian Asociality
"44901, Drugs",,,
,TRDDAQO128F428E278,ARBHH1V1187B9AD2EC,This Mortal Coil
,TRDCFLD128F1473180,ARROQSO1187B9AEB80,Talking Heads
"52990, I Don't Want To Hear It Anymore",,,
,TREBUPV128F42594E7,ARA3VJJ1187FB3F5A6,Shelby Lynne
,TRAUZER128F427C242,AR54UY91187B9A6667,P. J. Proby
,TRREYXV128F93095CE,ARK1VZ81187FB5867E,Melissa Manchester
,TREJAIZ128E0791228,AREQIT21187B9AEB7F,Dusty Springfield
"25045, Little Bitty Pretty One (LP Version)",,,
,TRCRIAZ128F14A53BD,AR5MJOG1187FB382DF,Frankie Lymon And The Teenagers
,TRKXEGS128F145D25F,ARFJ7T21187B9B4A35,The Paramounts
,TRLJXGF128F427D798,ARS1PIB1187FB58AA6,Billy Gilman
,TRXPVSF128F931BEED,ARRZUPG11F43A69EF7,Jackson 5
"72364, I Got A Feeling",,,
,TRJDQCE128F14639FB,ARB5IOF1187B98B23F,Barbara Randolph
,TRIOPTK128F147F22B,ARS73GR1187FB4AE00,The Four Tops
"80116, Hitch Hike",,,
,TRBKXVN128C7196AFB,ARVNNXD1187B9AE50D,Marvin Gaye
,TRSGOWH128F9344DB8,ARLLRL61187B9B6698,The Sonics
"34604, Let's Call The Whole Thing Off",,,
,TROIMFC128F1490D2D,ARJLK4N1187FB35EAF,THE INK SPOTS
,TRCOKEP128F92C7091,AR8Y7O51187B99879D,Louis Armstrong - Itinéraire d'un génie
,TRNUHKV128F92E138B,AR1HEU81187FB3CCCC,Fred Astaire and Ginger Rogers
"35275, Satin Sheets",,,
,TRCNYNV128F92F06DC,ARKPDFV1187B99804D,Jeanne Pruett
,TRTJEDK128F42AC54D,ARF3GX71187FB3EB66,Martina McBride
"9276, Roxanne",,,
,TRTUZJC128F9338FF6,AROZ9WA1187B995DF9,Emmerson Nogueira
,TRELBYN128F1492390,ARIPLUN1187B99B9F9,The Police
,TRZBOZT128F425A65E,ARP39OU1187FB4D543,Aswad
,TRGUKPU128F425A04A,ARAKARO1187B9A1EB6,George Michael
,TRCLJGP128E079273D,ARUN2OO1187B9A7BF3,Sting
"5999, The Logical Song",,,
,TRONECC128F423F631,AROURUF1187FB532C9,Sexton Blake
,TRAGDSY128F9339015,AROZ9WA1187B995DF9,Emmerson Nogueira
,TRHWMGV128F92DB31D,ARCDTNQ1250940F870,Aram Quartet
,TRTZNQG128F1499624,AR4HL8H1187FB493DD,Scooter
,TRGPZLK128F4244C41,ARZ3KE21187B9AC887,At Vance
,TRNELUP128F1481553,ARRZ9UW1187B9AFA1D,Supertramp
"11135, Wings Of A Dove  (LP Version)",,,
,TREQPOP12903CBD241,AR54HMH1187FB4958C,Nanci Griffith
,TRMBXMA128F92FBC29,ARES2PA1187FB38083,Ferlin Husky
"28153, Pouring Water On A Drowning Man",,,
,TRLNTHS128F92F0EF5,AROCZUC1187B9AD05B,Elvis Costello & The Attractions
,TRPBXYD128F93054E8,ARTXQMG1187FB44701,James Carr
,TRWKZAK128F1495D8B,AR3KF8P1187B997E01,Otis Clay
"35057, Go Now",,,
,TRJBKRC128F92F81DB,AR198711187B9AD09F,Simply Red
,TRWSMOY128E078E684,AR00RAE1187FB41114,Lulu
,TRSXUUM128F4288C90,AR4TPZ21187FB4C5CB,David Cassidy
"28171, Gigi",,,
,TRJXZDM128F42596CA,ARHTK7K1187FB3D91C,Billy Eckstine
,TRQTINO128F427323E,ARF6C551187FB40741,Andy Williams
"26460, Lovey Dovey (LP Version)",,,
,TRBIREV128EF34458E,ARJACM31187FB3EFDF,Otis Redding & Carla Thomas
,TRGHPFK128F4231630,AR69FR01187FB4D250,The Clovers
"24222, Sweet Child O' Mine",,,
,TREEXXZ128F422B94B,AR2C54R1187B993B4C,Sheryl Crow
,TRCFOUA128E07842AC,ARM7EDF1187B9B3FA1,Guns N' Roses
,TRAXUYH128F4236A4A,ARGR4QF1187B99350A,Most Precious Blood
,TRJYWMK128F935A628,ARDNY8K1187FB4CC9E,Taken By Trees
,TRIFQSR128F423EC90,AR2F1JC1187FB4EFB0,Luna
"4612, Sea Of Love",,,
,TRAOYLB128E0784C47,ARY1ROO1187FB4DDC5,Marty Wilde
,TRRQFCW128F92E0F59,ARROAQE1187B9909CF,Jason Donovan
,TRRQGWG12903D06C3F,ARERLPG1187FB3BB39,Tom Waits;Crystal Gayle
,TREAOEF128F423AAFE,AR91NIO1187FB4D732,Cat Power
,TRYTUPL128F933D611,ARAZTVY1187B98FC27,Phil Phillips
"53471, On the Outside",,,
,TRFUNRS128F9346BF4,AR51X3T1187B99417E,Tony Sly
,TRDNSDP128F93426C9,ARHJFFY1187B98BA76,No Use For A Name
"9516, Something You Got (LP Version)",,,
,TRFZRLC128F427D5C4,ARW2AMZ1187FB381AC,Wilson Pickett
,TRUJLOV128F423F56A,ARNIYM61187FB4F85B,Bobby Womack
,TRSJZUQ128F1477DFA,ARNKK421187B9A9815,Arthur Conley
,TRKDPUK128F1477B98,AR3UELK1187B9A8241,Chris Kenner
"19243, No Values",,,
,TRDDCFC128F42684BD,AR5JCN31187B98C79B,Black Velvet Flag
,TRIHGGC128F425E065,ARQ76LG1187B9ACD84,Black Flag
"43698, Hark! The Herald Angels Sing",,,
,TRFDBUS128F4271916,ARWENA51187B9A6A3E,Charlotte Church
,TRNSSDQ128F42BAF2F,ARZ9HDR1187B99736C,Mary Mary
,TRNKERK128F9300ACB,ARANS3K1187B9B4FEA,Dustin Kensrue
,TRFMJLM12903CAF4FB,ARXJJSN1187B98CB37,Bebe Winans
,TRQXJHX128F92F146B,AR7BGWD1187FB59CCB,Aretha Franklin
,TRPHYQU128F93226FE,AR633SY1187B9AC3B9,Weezer
,TRWMLJL128F4228920,ARJ47041187B98E500,Liederjan
,TRFZCHF128F92EF59C,ARD9UVF1187B9B17FE,Brian Wilson
,TRYFMYN128F426708C,ARKSZW81187B9B695D,Mariah Carey
"20064, I Feel The Earth Move",,,
,TRKFUHZ128F425BADD,AR35K8C1187B98F4AF,Mandy Moore
,TRFYGQY128F426A3DC,AR1OBVS1187B9B0A97,Martika
,TRLNKJZ12903CDAEC3,ARLPOTR1187B9AD78D,Carole King
"32685, Sunday Morning",,,
,TRNUOIL128EF349911,AR93MBL1187B989169,Spanky & Our Gang
,TRQDOVO12903CD45E5,AR5D1U61187FB5995E,Margo Guryan
"72163, Christine",,,
,TRLSPJD128F92FA9CD,ARML8X41187B990644,Simple Minds
,TRLFFKS12903CDCE67,ARWDRZU11F50C49720,Siouxsie And The Banshees
,TRBDGTT128F1496F72,ARXCYWR1271F574481,Siouxsie And The Banshees
"42838, Jesus Christ",,,
,TRFGJFD128F4269C4D,ARSFARZ1187FB3C60F,Kristin Hersh
,TRETBWD12903CD7357,ARSX6IX1187B9B640C,Big Star
,TRVTMLQ128F93279A5,ARL1G0L1187FB4066D,Doleful Lions
"14513, Your Gold Teeth II",,,
,TRKLIEL128E079178C,ARQT9SA1187B9AD3C7,Steely Dan
,TRZWVNF128F14993AF,AR5KAA01187FB5AEB7,Herbie Hancock
"6392, Take Me Home Country Roads",,,
,TRFZTWP128F933874C,AREPWXH1187B99019B,Roch Voisine
,TRUUBCR12903CCE652,ARANIJI11F4C83EFD2,Toots & The Maytals
"9551, I Don't Wanna Grow Up",,,
,TRSICTG128F92D4679,ARERLPG1187FB3BB39,Tom Waits;Crystal Gayle
,TRJPQSO128F422B182,AREMGDO1187FB5C4A2,Scarlett Johansson
"89387, Wheel of Fortune",,,
,TRKWDGP128F934DC10,ARMNWUT1187FB3D8F9,The Cardinals
,TRUUDDE128F92EFB7C,ARQFFTK1187FB4C7E1,Robert Gordon
,TRGAVHA12903CE926D,AROCSHI1187FB3DF5A,Kay Starr
"40337, Calling You",,,
,TRLCQRI128F92F5EE4,ARTO3L81187B9ACA8C,Jeff Buckley
,TRJUTXV128F42A2951,ARYFH2E1187FB4963E,Jevetta Steele / William Galison / Deininger Blasmusik / Darron Flagg / Bob Telson / Jearlyn Steele-Battle / Marianne Sagebrecht / Tommy Joe White
,TRKCVAS128F92F19B6,AREMOC71187B996C2F,Lara Fabian
"37149, Cock In My Pocket",,,
,TRIWEER128F934D343,AR7SJ5I1187B9B8299,The Spades
,TRSUTVL12903D097B2,AR9ZS1Q1187FB50338,Iggy & The Stooges
"9879, I Can Only Give You Everything",,,
,TRCCGSP12903CDC426,AR9VN011187B9ADD25,The Troggs
,TRNSTHZ128F149EBAC,ARB336A1187B9A4583,MC5
"115408, Murders In The Rue Morgue (1998 Digital Remaster)",,,
,TRRLMBH128F146F74A,ARHTAPO1187FB5AADE,Iron Maiden
,TRJAKSW128F935A651,ARTQKVD1187B98DF8C,In Flames
"52930, If I'm Not In Love (Album Version)",,,
,TRDAWNO12903C9C71F,ARVNGA71187FB3C107,Faith Hill
,TRCTRLX128F93073E4,ARH3TXI1187FB3A486,Kathy Troccoli
"1792, Crying In The Chapel",,,
,TRORHCN128E0785FA5,AR5GMAV1187FB3A8F5,Chris Clark
,TRQZLRA128F1484CFB,ARFFQCQ1187B988D82,Rex Allen
,TRTWBKF12903CD96B6,AR9JSH21187FB4C028,The Orioles
,TRLCZNQ128F145BB64,AR1UBH11187FB3643A,Don McLean
,TRZJQVL128F92F0834,AR358YS1187FB44A29,The Jordanaires
,TRVPEPD128F931D608,AR6TD9K1187B9A207D,Sister Rosetta Tharpe
,TRHWDDB12903CEB791,ARARUSD1187B9A5050,Christer Sjögren
"4665, Season Of The Witch (2004 Digital Remaster)",,,
,TRWYGUN128F4294892,ARQ2FVV1187FB4141A,Terry Reid
,TRAZZJD128F92F36CE,AR6JY3I1187B98DAF7,J'ai toujours rêvé d'être un gangster
,TRFWDCI128E0791BE1,ARZZXT51187FB4627E,Julie Driscoll_ Brian Auger & The Trinity
,TRWYZXB128F145D7FA,AR6M65W1187FB3611E,Donovan
"45207, Pretty Paper",,,
,TRIASFH128F9330A84,ARCZC791187B991DF4,Chris Isaak
,TRXJOSO12903CCA837,ARFAN5B1187FB3A6BB,Carly Simon
"1415, Suzanne",,,
,TRCAMQK128F1485B01,ARU2GS01187FB39974,Nick Cave & The Bad Seeds
,TRHCGWR128F9324534,AR8AYDW1187FB4BA8F,Denison Witmer
,TRTRSMY128F1466FFA,ARAYMO31187FB467AB,Dianne Reeves
,TRBLXAV128F92C2AD9,AR2UWUD1187B9B3B01,Nina Simone
,TRMMCZF128F9339016,ARTQ8QP1187FB3D220,Leonard Cohen
,TRIOFRQ128F427E0F1,ARMG9NK1187B99155A,Fairport Convention
,TRHAZEF12903CCB953,ARM900S1187FB5A3F7,Micah P. Hinson
,TROBDGE128F147128E,ARPGQ9A1187FB4D0AD,Noel Harrison
,TRIZUPE128F4291EBD,ARNHJ771187B9AAA5A,Bridget St John
,TRIMFJB128F4255E0E,AR8X2981187B98FAAE,Parasites
"19454, Lyin' Ass Bitch",,,
,TRVBLHI128F42659A3,AR88ALP1187FB3669B,Fishbone
,TRISQGE128F4221795,ARZJ4MI1187B9AF5AF,Reel Big Fish
"27460, Let's Have A War",,,
,TREUREL128F4267DCF,ARVDO8G1187B99F43E,A Perfect Circle
,TRWWFLK128F423772C,AR3KFM11187FB51278,the Fear and the Yearning
"39104, Creepin'",,,
,TRVQYOZ128F14A2D28,AR7FZ7W1187B9A5D13,Bob James
,TRMJAKZ12903CEA204,ARZPDAD1187B98D940,Fattburger
,TRFPAPF128F42AC265,ARD5VN51187B9B8D29,Jamie Foxx
,TRDXQBF128F92D95F8,ARFOMBD1187FB4CD21,NNENNA FREELON
,TRCVTFI128F4288FAB,AR642CN1187FB3B3C6,Cluster
,TRISAWT12903CAEB12,ARIC3EM1187B9A3712,Kenny Rankin
"2713, Turn Me Loose (1997 Digital Remaster)",,,
,TRZWAPO128F4297C3F,AR7DO6G1187FB41056,Adam Faith
,TRNTTJQ12903CBA6D6,ARIQD5J1187B98D8DC,Fabian
,TRNYDBY128F4278356,AR8JFKQ1187FB3EF24,David Essex
"2247, Iron Maiden",,,
,TRPLRHD128F92CE226,ARJBWQI1187B9B17D1,Trivium
,TRIFDSD128F1474E83,ARHTAPO1187FB5AADE,Iron Maiden
,TROSGHV128F4257D4D,ARM9RJ51187B9B10DA,Tankard
"83881, I've Grown Accustomed To Her Face",,,
,TREKLYZ128F92F6074,ARJUNZD1187B9A5DAE,Herb Alpert And The Tijuana Brass
,TRCZIQW12903CD923F,ARKETDZ1187B9B2566,Marlene Dietrich
,TRJCBGS128F14689B3,ARIFGKC1187B9B04D5,Dean Martin
,TRVICVE128F933BA79,ARAFPO71187B9BA100,Cassandra Wilson
"2762, The Dark End Of The Street",,,
,TRKMIRZ128F92FC65F,AR9VTPV1187FB4D2AF,Gregg Allman
,TRELUYR128F4286D92,AR7BGWD1187FB59CCB,Aretha Franklin
,TRMPUOZ128F422ADAD,ARMRP5A1187B9A73F1,Peter Green Splinter Group
,TRMNQGE128F9303A3C,ARTXQMG1187FB44701,James Carr
,TRYQJKZ128E0784A04,AROJ4691187FB3EC1C,The Flying Burrito Brothers
"21233, You Spin Me Round (Like A Record)",,,
,TRCZFUA12903CF80C9,ARAEDZO12131B4B54D,Dead Or Alive
,TRRDHGP128F426557F,ARTM7BI1187B98AD9A,Dope
,TRQYALS128F4271349,ARF7QRV1187B99C749,Gemini Five
