Song ID,Song,Original Artist,Original Year,Track ID,Artist ID,Artist Name,Cover Genre,Popularity,Cover Date,Cover Genre Simplified
4253,My Sweet Lord,Billy Preston,1970,TRPYNNL12903CAF506,ARXJJSN1187B98CB37,Bebe Winans,['gospel'],42,2003,{'gospel'}
4253,My Sweet Lord,Billy Preston,1970,TRFYRVZ128F92EF998,ARNUFGE1187B9B7881,THE CHIFFONS,"['brill building pop', 'classic girl group', 'doo-wop', 'rock-and-roll']",46,0,"{'doo-wop', 'girl group', 'pop', 'rock'}"
4253,My Sweet Lord,Billy Preston,1970,TRGSXCN128F9320D4B,ARZEAO01187B998042,Jody Miller,"['classic oklahoma country', 'nashville sound']",16,0,{'country'}
51981,These Things Will Keep Me Loving You,Diana Ross,1970,TRTRNUX128F93297EF,AR31EL21187B98A723,The Velvelettes,"['classic girl group', 'motown']",36,1999,"{'girl group', 'motown'}"
22914,Take Me In Your Arms (Rock Me A Little While),Dean Martin,1962,TRBKHJE128F931F762,AROHGM71187B98ED9E,Kim Weston,"['motown', 'northern soul', 'southern soul']",40,1966,"{'soul', 'motown'}"
22914,Take Me In Your Arms (Rock Me A Little While),Dean Martin,1962,TRTMZVE128F92DF6FB,ART9VTZ1187FB48DDC,Blood_ Sweat & Tears,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'jazz rock', 'mellow gold', 'singer-songwriter', 'soft rock']",40,0,"{'singer-songwriter', 'jazz', 'rock', 'folk', 'country', 'blues'}"
4173,Come Softly To Me,The Fleetwoods,1993,TRYCGBR128F428256C,ARLQ1IL1187FB3C77A,Bob Welch,"['soft rock', 'yacht rock']",39,0,{'rock'}
15202,No Sleep Till Brooklyn,,0,TRFLJNQ128F14A8388,ART93VS1187FB5828A,Belgian Asociality,"['belgian hardcore', 'belgian metal', 'belgian new wave', 'belgian rock']",19,0,"{'rock', 'metal'}"
52990,I Don't Want To Hear It Anymore,,0,TRAUZER128F427C242,AR54UY91187B9A6667,P. J. Proby,"['merseybeat', 'rock-and-roll']",20,0,{'rock'}
25045,Little Bitty Pretty One (LP Version),Frankie Lymon,1958,TRCRIAZ128F14A53BD,AR5MJOG1187FB382DF,Frankie Lymon And The Teenagers,"['doo-wop', 'rhythm and blues', 'rock-and-roll']",30,1989,"{'doo-wop', 'rock', 'blues'}"
25045,Little Bitty Pretty One (LP Version),Frankie Lymon,1958,TRKXEGS128F145D25F,ARFJ7T21187B9B4A35,The Paramounts,['british invasion'],6,1998,{'british'}
25045,Little Bitty Pretty One (LP Version),Frankie Lymon,1958,TRLJXGF128F427D798,ARS1PIB1187FB58AA6,Billy Gilman,['queer country'],28,2000,{'country'}
25045,Little Bitty Pretty One (LP Version),Frankie Lymon,1958,TRXPVSF128F931BEED,ARRZUPG11F43A69EF7,Jackson 5,"['motown', 'soul']",65,1972,"{'soul', 'motown'}"
72364,I Got A Feeling,Ricky Nelson,1959,TRJDQCE128F14639FB,ARB5IOF1187B98B23F,Barbara Randolph,['motown'],18,2006,{'motown'}
72364,I Got A Feeling,Ricky Nelson,1959,TRIOPTK128F147F22B,ARS73GR1187FB4AE00,The Four Tops,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul']",61,0,"{'soul', 'disco', 'motown'}"
34604,Let's Call The Whole Thing Off,Fred Astaire,1935,TROIMFC128F1490D2D,ARJLK4N1187FB35EAF,THE INK SPOTS,"['lounge', 'vocal harmony group']",52,0,{'other'}
34604,Let's Call The Whole Thing Off,Fred Astaire,1935,TRCOKEP128F92C7091,AR8Y7O51187B99879D,Louis Armstrong - Itinéraire d'un génie,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",68,0,"{'adult standards', 'soul', 'jazz'}"
34604,Let's Call The Whole Thing Off,Fred Astaire,1935,TRNUHKV128F92E138B,AR1HEU81187FB3CCCC,Fred Astaire and Ginger Rogers,['vintage hollywood'],8,0,{'hollywood'}
35275,Satin Sheets,Johnny Paycheck,1971,TRCNYNV128F92F06DC,ARKPDFV1187B99804D,Jeanne Pruett,['classic country pop'],16,1981,"{'pop', 'country'}"
35275,Satin Sheets,Johnny Paycheck,1971,TRTJEDK128F42AC54D,ARF3GX71187FB3EB66,Martina McBride,"['contemporary country', 'country', 'country dawn', 'country road']",54,2005,{'country'}
9276,Roxanne,The Police,1978,TRTUZJC128F9338FF6,AROZ9WA1187B995DF9,Emmerson Nogueira,,44,2001,[]
9276,Roxanne,The Police,1978,TRZBOZT128F425A65E,ARP39OU1187FB4D543,Aswad,"['reggae', 'roots reggae', 'uk reggae']",40,1994,{'reggae'}
5999,The Logical Song,Supertramp,1979,TRONECC128F423F631,AROURUF1187FB532C9,Sexton Blake,['portland indie'],9,2007,{'indie'}
5999,The Logical Song,Supertramp,1979,TRAGDSY128F9339015,AROZ9WA1187B995DF9,Emmerson Nogueira,,44,2002,[]
5999,The Logical Song,Supertramp,1979,TRHWMGV128F92DB31D,ARCDTNQ1250940F870,Aram Quartet,['instrumental worship'],38,0,{'instrumental'}
5999,The Logical Song,Supertramp,1979,TRTZNQG128F1499624,AR4HL8H1187FB493DD,Scooter,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",63,2001,"{'dance', 'techno'}"
5999,The Logical Song,Supertramp,1979,TRGPZLK128F4244C41,ARZ3KE21187B9AC887,At Vance,"['german metal', 'german power metal', 'metal cover', 'neo classical metal', 'power metal']",36,0,"{'classical', 'metal'}"
11135,Wings Of A Dove  (LP Version),,0,TRMBXMA128F92FBC29,ARES2PA1187FB38083,Ferlin Husky,['nashville sound'],38,0,{'other'}
35057,Go Now,,0,TRWSMOY128E078E684,AR00RAE1187FB41114,Lulu,,47,1982,[]
35057,Go Now,,0,TRSXUUM128F4288C90,AR4TPZ21187FB4C5CB,David Cassidy,"['adult standards', 'bubblegum pop']",36,1974,"{'adult standards', 'pop'}"
28171,Gigi,Louis Jourdan,1958,TRJXZDM128F42596CA,ARHTK7K1187FB3D91C,Billy Eckstine,"['swing', 'vocal jazz']",33,1958,{'jazz'}
26460,Lovey Dovey (LP Version),The Clovers,1956,TRBIREV128EF34458E,ARJACM31187FB3EFDF,Otis Redding & Carla Thomas,"['memphis soul', 'soul', 'southern soul']",42,1967,{'soul'}
24222,Sweet Child O' Mine,Guns N' Roses,1987,TREEXXZ128F422B94B,AR2C54R1187B993B4C,Sheryl Crow,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",64,1998,"{'pop', 'rock', 'singer-songwriter'}"
24222,Sweet Child O' Mine,Guns N' Roses,1987,TRAXUYH128F4236A4A,ARGR4QF1187B99350A,Most Precious Blood,['hardcore'],20,2004,{'other'}
24222,Sweet Child O' Mine,Guns N' Roses,1987,TRIFQSR128F423EC90,AR2F1JC1187FB4EFB0,Luna,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",67,2022,"{'rap', 'reggae'}"
4612,Sea Of Love,Tom Waits,2006,TRAOYLB128E0784C47,ARY1ROO1187FB4DDC5,Marty Wilde,"['brill building pop', 'merseybeat', 'rock-and-roll']",25,2013,"{'pop', 'rock'}"
4612,Sea Of Love,Tom Waits,2006,TRRQFCW128F92E0F59,ARROAQE1187B9909CF,Jason Donovan,"['australian dance', 'australian pop', 'europop', 'new wave pop']",43,0,"{'dance', 'pop'}"
4612,Sea Of Love,Tom Waits,2006,TRRQGWG12903D06C3F,ARERLPG1187FB3BB39,Tom Waits;Crystal Gayle,"['folk', 'singer-songwriter']",56,0,"{'folk', 'singer-songwriter'}"
4612,Sea Of Love,Tom Waits,2006,TRYTUPL128F933D611,ARAZTVY1187B98FC27,Phil Phillips,,30,2008,[]
