Original Artist,Release Year,SongID
The Chiffons [US1],1962,4253
The Velvelettes,1966,51981
Eddie Holland,2005,22914
Fleetwoods,1959,4173
Beastie Boys,1986,15202
Talking Heads,1979,44901
Jerry Butler,1964,52990
Bobby Day and The Satellites,1957,25045
Four Tops,1966,72364
Marvin Gaye,1962,80116
Fred Astaire with Johnny Green and His Orchestra,1937,34604
Bill Anderson and Jan Howard,1972,35275
The Police,1978,9276
Supertramp,1979,5999
Ferlin Husky,1960,11135
Percy Sledge,1966,28153
Bessie Banks,1964,35057
Louis Jourdan,1958,28171
The Clovers,1954,26460
Guns n' Roses,1987,24222
Phil Phillips with The Twilights,1959,4612
No Use for a Name,1997,53471
Chris Kenner,1961,9516
Black Flag,1982,19243
Waltham Abbey Choir,,43698
Carole King,1971,20064
Spanky and Our Gang,1967,32685
Siouxsie and The Banshees,1980,72163
Big Star,1978,42838
Steely Dan,1975,14513
John Denver,1971,6392
Tom Waits,1992,9551
Al Costello with The Walter Scott Orchestra,1951,89387
Jevetta Steele,1988,40337
Iggy & The Stooges,1976,37149
Them,1966,9879
Iron Maiden,1981,115408
Dawn Thomas,1993,52930
Darrell Glenn,1953,1792
Donovan,1966,4665
Roy Orbison,1963,45207
Judy Collins,1966,1415
Fishbone,1985,19454
Fear,1982,27460
Stevie Wonder,1974,39104
Fabian,1959,2713
Iron Maiden,1979,2247
Rex Harrison,,83881
James Carr,1967,2762
Dead or Alive,1984,21233
Talking Heads,1980,12287
Graham Nash,1971,68052
The Beatles,1964,662
Miles Davis,1958,40112
Eric Carmen,1975,731
Red Hot Chili Peppers,1991,116230
Sammy Hagar,1978,72500
No Doubt,1995,403
Ella Logan - Orchestra under direction of Bill Harty,1938,4689
Judy Collins,1966,62158
Camper van Beethoven,1985,14669
Galaxie 500,1989,60051
Fiona Apple,1996,109691
The Lovin' Spoonful,1966,3775
Ray Colignon,1958,39117
The Manhattans [US],1980,19578
Andy Williams - Arr. & cond. by Robert Mersey,1963,4156
The Beatles,2018,1223
Pat Benatar,1980,103288
Steely Dan,1974,33056
The Rolling Stones,1972,13230
The Commodores,1974,1182
Roky Erickson,1977,38355
Danny and The Juniors,1957,23735
The Cyrkle,1966,37581
ABBA,1974,75234
Billy Joel,1976,32322
Irene Molloy and the Children,,20911
Lowell George,1979,103112
Doves,2000,88152
Devo,1981,18478
"Ruby Hill, Harold Nicholas",1946,6031
Hank Williams with His Drifting Cowboys,1947,9951
Kansas Joe and Memphis Minnie,1929,17982
Michael Sembello,1983,16986
Kris Kristofferson,1972,57556
Thomas Wayne,1958,32602
Frankie Laine,1958,27647
Eva Gauthier,1917,111452
Stevie Wonder,1967,8824
Henry Mancini and His Orchestra,1962,54135
Cheap Trick,1978,16067
Bread,1970,42090
Little Walter and His Night Cats,1952,30905
Pantera,1990,10518
Diana Ross and The Supremes,1967,35775
Henry King and His Orchestra – Vocal Chorus by Tony Russell,1940,28879
War [US],1972,10601
Carpenters,1971,23627
Willie Bobo,1967,28989
Tony Bennett with Percy Faith & His Orchestra,1951,53997
Gasolin',1975,115905
The Beefeaters [US],1964,3671
The Pastels,1989,78032
Son House,1931,7638
Pink Floyd,1975,26445
Black Sabbath,1971,15278
Ohio Express,1968,68367
The Beach Boys,1967,37831
Goo Goo Dolls,1998,62162
New Order,1985,79887
Count Five,1966,29814
The Two Poor Boys,1931,16212
Lowell Fulsom,1966,5021
Oingo Boingo,1985,64107
Love and Rockets,1989,99472
Bobby Goldsboro,1964,66728
Brinsley Schwarz,1971,99510
Unleashed,1993,94755
The Beach Boys,1964,20095
Anggun,1997,93038
Led Zeppelin,1969,39861
The Velvet Underground,1970,29912
Jesse Belvin with Marty Paich and His Orchestra,1960,11827
Rick Astley,1987,35854
Freddie King,1972,30955
Doye O'Dell,1948,47657
Simon and Garfunkel,1966,105005
Stray Cats,1981,86749
Harold Arlen - Piano Accompaniment by Arthur Schutt,1934,56239
The Four Tunes - Sid Bass Orch.,1954,32263
Tim Buckley,1972,71343
Fred Astaire,,5655
Buddy Mondlock,1987,44937
The Beatles,1966,14969
Simply Red,1987,51930
Woody Herman and His Orchestra,1948,113802
Tammy Wynette,1968,4232
Otis Redding,1964,36402
Paul Anka - Arranged and conducted by Don Costa,1957,68895
My Bloody Valentine,1991,77292
John Jacob Niles,1938,112345
Gene Vincent and His Blue Caps,1956,43036
Joe Pullum,1934,90062
David and Jonathan,1967,4637
The Beatles,1968,1454
Howlin' Wolf,1958,115521
ABBA,1980,4006
Pilot,1974,49932
Fleetwood Mac,1968,30381
Ike & Tina Turner,1973,62310
Selah Jubilee Singers,1941,13691
Judy Collins,1967,2558
The All Seeing I,1999,10403
Skip James,1931,27946
