Song ID,Song,Original Artist,Original Year,Track ID,Artist ID,Artist Name,Cover Genre,Popularity,Cover Date
4253,My Sweet Lord,Billy Preston,1970,TRPYNNL12903CAF506,ARXJJSN1187B98CB37,Bebe Winans,['gospel'],42,2003
51981,These Things Will Keep Me Loving You,Diana Ross,1970,TRTRNUX128F93297EF,AR31EL21187B98A723,The Velvelettes,"['classic girl group', 'motown']",36,1999
22914,Take Me In Your Arms (Rock Me A Little While),Dean Martin,1962,TRBKHJE128F931F762,AROHGM71187B98ED9E,Kim Weston,"['motown', 'northern soul', 'southern soul']",40,1966
22914,Take Me In Your Arms (Rock Me A Little While),,0,TRMFHKO128F426E4C6,ARUIHX41187B98BE59,The Doobie Brothers,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",64,1996
4173,Come Softly To Me,,0,TRWQUEV12903CB3AD3,AROSQW61187FB5330B,The Fleetwoods,"['doo-wop', 'rock-and-roll', 'vocal harmony group']",40,1993
25045,Little Bitty Pretty One (LP Version),Frankie Lymon,1958,TRCRIAZ128F14A53BD,AR5MJOG1187FB382DF,Frankie Lymon And The Teenagers,"['doo-wop', 'rhythm and blues', 'rock-and-roll']",30,1989
25045,Little Bitty Pretty One (LP Version),,0,TRKXEGS128F145D25F,ARFJ7T21187B9B4A35,The Paramounts,['british invasion'],6,1998
25045,Little Bitty Pretty One (LP Version),,0,TRLJXGF128F427D798,ARS1PIB1187FB58AA6,Billy Gilman,['queer country'],28,2000
25045,Little Bitty Pretty One (LP Version),,0,TRXPVSF128F931BEED,ARRZUPG11F43A69EF7,Jackson 5,"['motown', 'soul']",65,1972
72364,I Got A Feeling,Ricky Nelson,1959,TRJDQCE128F14639FB,ARB5IOF1187B98B23F,Barbara Randolph,['motown'],18,2006
35275,Satin Sheets,Johnny Paycheck,1971,TRCNYNV128F92F06DC,ARKPDFV1187B99804D,Jeanne Pruett,['classic country pop'],16,1981
35275,Satin Sheets,,0,TRTJEDK128F42AC54D,ARF3GX71187FB3EB66,Martina McBride,"['contemporary country', 'country', 'country dawn', 'country road']",54,2005
9276,Roxanne,The Police,1978,TRTUZJC128F9338FF6,AROZ9WA1187B995DF9,Emmerson Nogueira,,44,2001
9276,Roxanne,,0,TRZBOZT128F425A65E,ARP39OU1187FB4D543,Aswad,"['reggae', 'roots reggae', 'uk reggae']",40,1994
5999,The Logical Song,Supertramp,1979,TRONECC128F423F631,AROURUF1187FB532C9,Sexton Blake,['portland indie'],9,2007
5999,The Logical Song,,0,TRAGDSY128F9339015,AROZ9WA1187B995DF9,Emmerson Nogueira,,44,2002
5999,The Logical Song,,0,TRTZNQG128F1499624,AR4HL8H1187FB493DD,Scooter,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",63,2001
35057,Go Now,,0,TRWSMOY128E078E684,AR00RAE1187FB41114,Lulu,,47,1982
35057,Go Now,,0,TRSXUUM128F4288C90,AR4TPZ21187FB4C5CB,David Cassidy,"['adult standards', 'bubblegum pop']",36,1974
28171,Gigi,Louis Jourdan,1958,TRJXZDM128F42596CA,ARHTK7K1187FB3D91C,Billy Eckstine,"['swing', 'vocal jazz']",33,1958
26460,Lovey Dovey (LP Version),The Clovers,1956,TRBIREV128EF34458E,ARJACM31187FB3EFDF,Otis Redding & Carla Thomas,"['memphis soul', 'soul', 'southern soul']",42,1967
24222,Sweet Child O' Mine,Guns N' Roses,1987,TREEXXZ128F422B94B,AR2C54R1187B993B4C,Sheryl Crow,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",64,1998
24222,Sweet Child O' Mine,,0,TRAXUYH128F4236A4A,ARGR4QF1187B99350A,Most Precious Blood,['hardcore'],20,2004
24222,Sweet Child O' Mine,,0,TRIFQSR128F423EC90,AR2F1JC1187FB4EFB0,Luna,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",67,2022
4612,Sea Of Love,Tom Waits,2006,TRAOYLB128E0784C47,ARY1ROO1187FB4DDC5,Marty Wilde,"['brill building pop', 'merseybeat', 'rock-and-roll']",25,2013
4612,Sea Of Love,,0,TRYTUPL128F933D611,ARAZTVY1187B98FC27,Phil Phillips,,30,2008
53471,On the Outside,No Use For A Name,1997,TRFUNRS128F9346BF4,AR51X3T1187B99417E,Tony Sly,"['acoustic rock', 'skate punk']",28,2004
9516,Something You Got (LP Version),,0,TRUJLOV128F423F56A,ARNIYM61187FB4F85B,Bobby Womack,"['classic soul', 'funk', 'quiet storm', 'soul', 'southern soul']",55,1975
9516,Something You Got (LP Version),,0,TRKDPUK128F1477B98,AR3UELK1187B9A8241,Chris Kenner,"['louisiana blues', 'new orleans blues', 'new orleans soul', 'rhythm and blues']",20,2005
19243,No Values,Black Flag,1983,TRDDCFC128F42684BD,AR5JCN31187B98C79B,Black Velvet Flag,,2,1995
43698,Hark! The Herald Angels Sing,Frank Sinatra,1957,TRFDBUS128F4271916,ARWENA51187B9A6A3E,Charlotte Church,['operatic pop'],35,2001
43698,Hark! The Herald Angels Sing,,0,TRNKERK128F9300ACB,ARANS3K1187B9B4FEA,Dustin Kensrue,['christian uplift'],30,2008
43698,Hark! The Herald Angels Sing,,0,TRFMJLM12903CAF4FB,ARXJJSN1187B98CB37,Bebe Winans,['gospel'],42,1993
32685,Sunday Morning,,0,TRQDOVO12903CD45E5,AR5D1U61187FB5995E,Margo Guryan,['baroque pop'],44,1968
72163,Christine,,0,TRLFFKS12903CDCE67,ARWDRZU11F50C49720,Siouxsie And The Banshees,"['alternative rock', 'dream pop', 'new romantic', 'new wave', 'post-punk', 'punk', 'uk post-punk']",56,1980
72163,Christine,,0,TRBDGTT128F1496F72,ARXCYWR1271F574481,Siouxsie And The Banshees,"['alternative rock', 'dream pop', 'new romantic', 'new wave', 'post-punk', 'punk', 'uk post-punk']",56,1980
42838,Jesus Christ,,0,TRVTMLQ128F93279A5,ARL1G0L1187FB4066D,Doleful Lions,,1,2001
6392,Take Me Home Country Roads,Daryle Singletary,2009,TRFZTWP128F933874C,AREPWXH1187B99019B,Roch Voisine,"['chanson', 'comedie musicale', 'country quebecois', 'french pop', 'pop quebecois']",40,2009
9551,I Don't Wanna Grow Up,,0,TRJPQSO128F422B182,AREMGDO1187FB5C4A2,Scarlett Johansson,"['hollywood', 'nyc pop']",53,2008
89387,Wheel of Fortune,Tony MacAlpine,1986,TRKWDGP128F934DC10,ARMNWUT1187FB3D8F9,The Cardinals,"['alternative country', 'roots rock']",37,2007
89387,Wheel of Fortune,,0,TRUUDDE128F92EFB7C,ARQFFTK1187FB4C7E1,Robert Gordon,['rockabilly'],29,2014
9879,I Can Only Give You Everything,,0,TRNSTHZ128F149EBAC,ARB336A1187B9A4583,MC5,"['detroit rock', 'garage rock', 'proto-metal', 'protopunk', 'punk']",34,1966
52930,If I'm Not In Love (Album Version),,0,TRCTRLX128F93073E4,ARH3TXI1187FB3A486,Kathy Troccoli,"['christian music', 'classic praise']",39,1994
1792,Crying In The Chapel,The Platters,1963,TRORHCN128E0785FA5,AR5GMAV1187FB3A8F5,Chris Clark,,16,2005
1792,Crying In The Chapel,,0,TRQZLRA128F1484CFB,ARFFQCQ1187B988D82,Rex Allen,"['cowboy western', 'western swing']",26,2011
1792,Crying In The Chapel,,0,TRTWBKF12903CD96B6,AR9JSH21187FB4C028,The Orioles,"['rhythm and blues', 'vocal harmony group']",17,2008
1792,Crying In The Chapel,,0,TRZJQVL128F92F0834,AR358YS1187FB44A29,The Jordanaires,['country gospel'],52,2002
1792,Crying In The Chapel,,0,TRVPEPD128F931D608,AR6TD9K1187B9A207D,Sister Rosetta Tharpe,"['acoustic blues', 'gospel blues', 'traditional blues']",35,2019
4665,Season Of The Witch (2004 Digital Remaster),,0,TRFWDCI128E0791BE1,ARZZXT51187FB4627E,Julie Driscoll_ Brian Auger & The Trinity,"['hammond organ', 'jazz rock']",18,2020
1415,Suzanne,,0,TRHCGWR128F9324534,AR8AYDW1187FB4BA8F,Denison Witmer,,17,2003
1415,Suzanne,,0,TRTRSMY128F1466FFA,ARAYMO31187FB467AB,Dianne Reeves,"['contemporary vocal jazz', 'vocal jazz']",38,1999
1415,Suzanne,,0,TRIOFRQ128F427E0F1,ARMG9NK1187B99155A,Fairport Convention,"['british folk', 'folk']",39,1968
1415,Suzanne,,0,TROBDGE128F147128E,ARPGQ9A1187FB4D0AD,Noel Harrison,['classic uk pop'],23,1967
1415,Suzanne,,0,TRIZUPE128F4291EBD,ARNHJ771187B9AAA5A,Bridget St John,"['british folk', 'psychedelic folk']",28,1969
1415,Suzanne,,0,TRIMFJB128F4255E0E,AR8X2981187B98FAAE,Parasites,"['orgcore', 'power-pop punk']",10,1999
39104,Creepin',Norah Jones,2004,TRVQYOZ128F14A2D28,AR7FZ7W1187B9A5D13,Bob James,"['jazz funk', 'jazz piano', 'smooth jazz']",43,2003
39104,Creepin',,0,TRMJAKZ12903CEA204,ARZPDAD1187B98D940,Fattburger,['smooth jazz'],35,2005
39104,Creepin',,0,TRFPAPF128F42AC265,ARD5VN51187B9B8D29,Jamie Foxx,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",66,2005
39104,Creepin',,0,TRCVTFI128F4288FAB,AR642CN1187FB3B3C6,Cluster,"['berlin school', 'krautrock']",33,2010
2713,Turn Me Loose (1997 Digital Remaster),Fabian,1959,TRZWAPO128F4297C3F,AR7DO6G1187FB41056,Adam Faith,"['british invasion', 'rock-and-roll']",31,1960
2713,Turn Me Loose (1997 Digital Remaster),,0,TRNYDBY128F4278356,AR8JFKQ1187FB3EF24,David Essex,['glam rock'],36,1973
2247,Iron Maiden,Iron Maiden,1980,TRPLRHD128F92CE226,ARJBWQI1187B9B17D1,Trivium,"['alternative metal', 'groove metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal', 'post-grunge']",58,2008
21233,You Spin Me Round (Like A Record),,0,TRRDHGP128F426557F,ARTM7BI1187B98AD9A,Dope,,58,1999
21233,You Spin Me Round (Like A Record),,0,TRQYALS128F4271349,ARF7QRV1187B99C749,Gemini Five,"['sleaze rock', 'swedish hard rock']",17,2000
12287,Once In A Lifetime ( LP Version ),,0,TRKHAXP128F4259347,AR9L0H31187B98C7CE,Blenderhead,"['christian hardcore', 'christian punk']",3,1995
68052,Military Madness,Graham Nash,1971,TRCMEIY128F9336E8E,ARZOLYS12086C12DE6,Obits,,12,2009
662,A Hard Day's Night (LP Version),,0,TRQWNRO128F428B551,AR9H9DL1187B9B9691,Peter Sellers,"['british comedy', 'music hall']",22,1990
731,All By Myself (Album Version),Eric Carmen,1975,TRJQNUY128EF367651,AR4SBWX1187FB4D6BE,Babes In Toyland,"['grunge', 'minneapolis punk', 'riot grrrl']",34,2018
731,All By Myself (Album Version),,0,TREQCUX128F1459CE5,ARBZX3K1187FB3F5FC,Jamie O'Neal,['country dawn'],34,2001
