Song ID,Song,Original Artist,Original Year,Track ID,Artist ID,Artist Name,Cover Genre,Popularity,Cover Date
4253,My Sweet Lord,['Billy Preston'],1970-09-11,TRPYNNL12903CAF506,ARXJJSN1187B98CB37,Bebe Winans,['gospel'],42,2003-11-18
4253,My Sweet Lord,,,TRFYRVZ128F92EF998,ARNUFGE1187B9B7881,THE CHIFFONS,"['brill building pop', 'classic girl group', 'doo-wop', 'rock-and-roll']",46,
4253,My Sweet Lord,,,TRXAJXI128F4267A92,AR7K9W71187B9AF065,Jane Olivor,['cabaret'],27,
4253,My Sweet Lord,,,TRMONTS128F427FF78,ARHYUI71187FB48366,Billy Preston,"['funk', 'psychedelic soul', 'rock keyboard', 'soul', 'southern soul']",46,1970-09-11
4253,My Sweet Lord,,,TRGSXCN128F9320D4B,ARZEAO01187B998042,Jody Miller,"['classic oklahoma country', 'nashville sound']",16,
51981,These Things Will Keep Me Loving You,['Diana Ross'],1970-06-19,TRTRNUX128F93297EF,AR31EL21187B98A723,The Velvelettes,"['classic girl group', 'motown']",36,1999-01-01
51981,These Things Will Keep Me Loving You,,,TRKQBVB128C7196AED,AR8L6W21187B9AD317,Diana Ross,"['adult standards', 'disco', 'motown', 'quiet storm', 'soft rock', 'soul']",63,1970-06-19
22914,Take Me In Your Arms (Rock Me A Little While),['Dean Martin'],1962-02-05,TRBKHJE128F931F762,AROHGM71187B98ED9E,Kim Weston,"['motown', 'northern soul', 'southern soul']",40,1966-01-01
22914,Take Me In Your Arms (Rock Me A Little While),,,TRNOHZD128C719668F,ARTG85X1187B99D1F5,The Isley Brothers,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']",59,1987-01-01
22914,Take Me In Your Arms (Rock Me A Little While),,,TRTMZVE128F92DF6FB,ART9VTZ1187FB48DDC,Blood_ Sweat & Tears,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'jazz rock', 'mellow gold', 'singer-songwriter', 'soft rock']",40,
